"File_240519_214036 - RawData"
"Wavelength nm.","Abs."
200.00,1.932
201.00,1.806
202.00,1.603
203.00,1.393
204.00,1.182
205.00,1.009
206.00,0.870
207.00,0.763
208.00,0.679
209.00,0.612
210.00,0.561
211.00,0.525
212.00,0.500
213.00,0.485
214.00,0.477
215.00,0.479
216.00,0.489
217.00,0.500
218.00,0.509
219.00,0.519
220.00,0.532
221.00,0.544
222.00,0.556
223.00,0.567
224.00,0.575
225.00,0.581
226.00,0.584
227.00,0.585
228.00,0.583
229.00,0.578
230.00,0.570
231.00,0.557
232.00,0.542
233.00,0.523
234.00,0.503
235.00,0.482
236.00,0.459
237.00,0.436
238.00,0.413
239.00,0.389
240.00,0.366
241.00,0.344
242.00,0.322
243.00,0.300
244.00,0.279
245.00,0.258
246.00,0.239
247.00,0.221
248.00,0.204
249.00,0.188
250.00,0.172
251.00,0.157
252.00,0.144
253.00,0.131
254.00,0.119
255.00,0.109
256.00,0.100
257.00,0.091
258.00,0.084
259.00,0.077
260.00,0.071
261.00,0.066
262.00,0.061
263.00,0.056
264.00,0.052
265.00,0.048
266.00,0.044
267.00,0.041
268.00,0.039
269.00,0.036
270.00,0.032
271.00,0.028
272.00,0.024
273.00,0.021
274.00,0.018
275.00,0.015
276.00,0.012
277.00,0.009
278.00,0.006
279.00,0.003
280.00,0.001
281.00,-0.002
282.00,-0.004
283.00,-0.005
284.00,-0.006
285.00,-0.007
286.00,-0.008
287.00,-0.008
288.00,-0.008
289.00,-0.009
290.00,-0.008
291.00,-0.008
292.00,-0.009
293.00,-0.008
294.00,-0.009
295.00,-0.008
296.00,-0.008
297.00,-0.008
298.00,-0.007
299.00,-0.007
300.00,-0.007
301.00,-0.007
302.00,-0.006
303.00,-0.006
304.00,-0.006
305.00,-0.007
306.00,-0.007
307.00,-0.006
308.00,-0.007
309.00,-0.006
310.00,-0.006
311.00,-0.006
312.00,-0.005
313.00,-0.006
314.00,-0.005
315.00,-0.005
316.00,-0.005
317.00,-0.005
318.00,-0.005
319.00,-0.005
320.00,-0.004
321.00,-0.005
322.00,-0.004
323.00,-0.005
324.00,-0.005
325.00,-0.004
326.00,-0.004
327.00,-0.004
328.00,-0.004
329.00,-0.004
330.00,-0.003
331.00,-0.004
332.00,-0.004
333.00,-0.004
334.00,-0.004
335.00,-0.004
336.00,-0.004
337.00,-0.003
338.00,-0.004
339.00,-0.004
340.00,-0.003
341.00,-0.003
342.00,-0.003
343.00,-0.003
344.00,-0.003
345.00,-0.003
346.00,-0.003
347.00,-0.003
348.00,-0.003
349.00,-0.003
350.00,-0.003
351.00,-0.003
352.00,-0.003
353.00,-0.003
354.00,-0.004
355.00,-0.003
356.00,-0.003
357.00,-0.003
358.00,-0.003
359.00,-0.003
360.00,-0.003
361.00,-0.003
362.00,-0.003
363.00,-0.003
364.00,-0.003
365.00,-0.004
366.00,-0.003
367.00,-0.002
368.00,-0.002
369.00,-0.003
370.00,-0.003
371.00,-0.002
372.00,-0.002
373.00,-0.003
374.00,-0.002
375.00,-0.001
376.00,0.002
377.00,0.000
378.00,-0.002
379.00,-0.003
380.00,0.000
381.00,0.001
382.00,-0.001
383.00,-0.003
384.00,-0.002
385.00,-0.003
386.00,-0.002
387.00,-0.003
388.00,-0.003
389.00,-0.004
390.00,-0.003
391.00,-0.003
392.00,-0.003
393.00,-0.003
394.00,-0.003
395.00,-0.004
396.00,-0.005
397.00,-0.003
398.00,-0.004
399.00,-0.004
400.00,-0.003
401.00,-0.003
402.00,-0.003
403.00,-0.004
404.00,-0.003
405.00,-0.004
406.00,-0.004
407.00,-0.004
408.00,-0.004
409.00,-0.004
410.00,-0.004
411.00,-0.005
412.00,-0.004
413.00,-0.004
414.00,-0.004
415.00,-0.004
416.00,-0.003
417.00,-0.004
