"File_240203_070147 - RawData"
"Wavelength nm.","Abs."
200.00,0.048
201.00,0.047
202.00,0.083
203.00,0.014
204.00,0.126
205.00,0.069
206.00,0.146
207.00,0.062
208.00,0.075
209.00,0.102
210.00,0.065
211.00,0.034
212.00,0.078
213.00,0.066
214.00,0.087
215.00,0.056
216.00,0.116
217.00,0.090
218.00,0.096
219.00,0.140
220.00,0.127
221.00,0.093
222.00,0.076
223.00,0.058
224.00,0.049
225.00,0.038
226.00,0.030
227.00,0.023
228.00,0.019
229.00,0.015
230.00,0.013
231.00,0.010
232.00,0.011
233.00,0.014
234.00,0.016
235.00,0.019
236.00,0.025
237.00,0.030
238.00,0.035
239.00,0.040
240.00,0.047
241.00,0.053
242.00,0.060
243.00,0.066
244.00,0.073
245.00,0.081
246.00,0.088
247.00,0.096
248.00,0.105
249.00,0.113
250.00,0.121
251.00,0.130
252.00,0.140
253.00,0.150
254.00,0.161
255.00,0.171
256.00,0.180
257.00,0.188
258.00,0.196
259.00,0.204
260.00,0.213
261.00,0.220
262.00,0.227
263.00,0.229
264.00,0.231
265.00,0.232
266.00,0.231
267.00,0.232
268.00,0.236
269.00,0.235
270.00,0.226
271.00,0.218
272.00,0.211
273.00,0.205
274.00,0.197
275.00,0.189
276.00,0.180
277.00,0.173
278.00,0.164
279.00,0.155
280.00,0.147
281.00,0.138
282.00,0.130
283.00,0.120
284.00,0.114
285.00,0.106
286.00,0.099
287.00,0.091
288.00,0.085
289.00,0.079
290.00,0.073
291.00,0.067
292.00,0.061
293.00,0.056
294.00,0.051
295.00,0.047
296.00,0.043
297.00,0.039
298.00,0.037
299.00,0.034
300.00,0.031
301.00,0.029
302.00,0.027
303.00,0.026
304.00,0.023
305.00,0.022
306.00,0.020
307.00,0.019
308.00,0.018
309.00,0.017
310.00,0.016
311.00,0.016
312.00,0.014
313.00,0.015
314.00,0.014
315.00,0.013
316.00,0.013
317.00,0.012
318.00,0.012
319.00,0.012
320.00,0.010
321.00,0.010
322.00,0.010
323.00,0.009
324.00,0.010
325.00,0.009
326.00,0.008
327.00,0.008
328.00,0.008
329.00,0.007
330.00,0.007
331.00,0.006
332.00,0.006
333.00,0.006
334.00,0.005
335.00,0.004
336.00,0.004
337.00,0.004
338.00,0.003
339.00,0.003
340.00,0.000
341.00,0.001
342.00,0.001
343.00,0.000
344.00,0.001
345.00,0.001
346.00,0.000
347.00,-0.000
348.00,0.000
349.00,-0.001
350.00,-0.000
351.00,-0.001
352.00,-0.002
